Image,Mean_Color,Num_Contours,Num_Edges,Text
141.jpg,"[120.59867267219387, 118.6688456632653, 132.0184550382653]",1,1370625,
142.jpg,"[119.82513552295919, 118.05046237244898, 131.49878427933675]",1,1326510,
143.jpg,"[118.65194515306122, 116.75777264030613, 130.29241071428572]",1,1309935,
144.jpg,"[117.14566725127551, 115.03764748086735, 128.71010044642858]",1,1555245,
145.jpg,"[116.77078683035714, 114.61154735331633, 128.07382015306123]",1,1490730,
146.jpg,"[117.05959024234694, 114.51486766581633, 127.87496014030613]",1,1463955,
147.jpg,"[117.80765704719387, 115.04177295918367, 128.4474250637755]",1,1429785,
148.jpg,"[118.70509805484694, 115.7747727997449, 129.3153698979592]",1,1458090,
149.jpg,"[119.4832987882653, 116.43351403061224, 129.8193359375]",1,1402245,
15.jpg,"[119.95679209183673, 118.48234215561224, 129.13942920918367]",1,1245930,
150.jpg,"[120.60257892219387, 117.4126275510204, 130.2852558992347]",1,1432845,
151.jpg,"[120.84375, 117.67452566964286, 130.26530612244898]",1,1385160,
152.jpg,"[120.95551658163265, 118.05759725765306, 130.27891820790816]",1,1348695,
153.jpg,"[120.94810267857143, 118.34644052933673, 130.33862802933675]",1,1409130,
154.jpg,"[120.9332350127551, 118.44190449617346, 130.2488639987245]",1,1368585,
155.jpg,"[120.78178810586735, 118.57876275510205, 129.8681640625]",1,1402755,
156.jpg,"[121.25073740433673, 118.96723533163265, 129.9920878507653]",1,1370370,
157.jpg,"[121.78003427933673, 119.4961933992347, 130.53366151147958]",1,1414485,
158.jpg,"[122.1493144132653, 119.91509885204081, 130.8098294005102]",1,1429785,
159.jpg,"[121.80624202806122, 119.9169921875, 130.50727439413265]",1,1437690,
16.jpg,"[118.88199537627551, 117.62406329719387, 128.47755899234693]",1,1329060,
160.jpg,"[121.98981584821429, 119.92235331632654, 130.8495097257653]",1,1421880,
161.jpg,"[122.56078603316327, 120.15288185586735, 131.0934909119898]",1,1378530,
162.jpg,"[122.55578364158163, 120.10507015306122, 131.0362922512755]",1,1368585,
163.jpg,"[122.83304767219387, 120.06951530612245, 131.1789700255102]",1,1290555,
164.jpg,"[123.1717753507653, 120.35845822704081, 131.6396484375]",1,1325745,
165.jpg,"[123.5883490114796, 120.64722177933673, 132.38028140943877]",1,1385160,
166.jpg,"[124.20165019132654, 121.15605070153062, 133.08366549744898]",1,1325235,
